lastaddress,m_originalstate,w_assemblycenter,m_camp,pop,lastaddress_lat,lastaddress_lng,w_assemblycenter_lat,w_assemblycenter_lng,m_camp_lat,m_camp_lng
Maui,HI,Puyallup,Tulelake,7,0.0,0.0,47.1833,-122.2833,41.8833,-121.3667
Watsonville,CA,Stockton,Rohwer,7,36.9206,-121.7706,37.95,-121.2833,33.75,-91.2667
Fresno,CA,Pinedale,Poston,7,36.7831,-119.7941,36.84,-119.8,34.15,-114.2833
Fresno,CA,Fresno,Rohwer,7,36.7831,-119.7941,36.7333,-119.7667,33.75,-91.2667
Watsonville,CA,None,Tulelake,7,36.9206,-121.7706,0.0,0.0,41.8833,-121.3667
San Leandro,CA,None,Poston,7,37.7071,-122.1601,0.0,0.0,34.15,-114.2833
Tucson,AZ,Mayer,Poston,7,32.1545,-110.8782,34.3833,-112.2333,34.15,-114.2833
Pleasanton,CA,Sacramento (Walerga),Tulelake,7,37.6663,-121.8805,0.0,0.0,41.8833,-121.3667
Stockton,CA,Stockton,Tulelake,7,37.9765,-121.3109,37.95,-121.2833,41.8833,-121.3667
Taft,CA,None,Gilariver,7,35.1267,-119.4242,0.0,0.0,32.1667,-111.8667
Fullerton,CA,Pomona,Heartmountain,7,33.8841,-117.9279,34.05,-117.75,44.5167,-109.05
Taft,CA,Fresno,Topaz,7,35.1267,-119.4242,36.7333,-119.7667,39.3833,-112.7167
Tukwila,WA,Pinedale,Gilariver,7,47.4749,-122.2727,36.84,-119.8,32.1667,-111.8667
Lodi,CA,Stockton,Minidoka,7,38.1218,-121.2932,37.95,-121.2833,42.6667,-114.2333
Santa Maria,CA,Fresno,Jerome,7,34.9334,-120.4432,36.7333,-119.7667,33.3833,-91.4667
Tulare,CA,None,Manzanar,7,36.1996,-119.34,0.0,0.0,36.7333,-118.0667
Lindsay,CA,Fresno,Gilariver,7,36.2082,-119.0897,36.7333,-119.7667,32.1667,-111.8667
Torrance,CA,Santa Anita,Topaz,7,33.8346,-118.3417,34.1333,-118.0333,39.3833,-112.7167
Lemoore,CA,Fresno,Gilariver,7,36.2949,-119.7983,36.7333,-119.7667,32.1667,-111.8667
Tulare,CA,Tulare,Heartmountain,7,36.1996,-119.34,36.2,-119.3333,44.5167,-109.05
Sacramento,CA,Pomona,Heartmountain,7,38.5667,-121.4683,34.05,-117.75,44.5167,-109.05
Torrance,CA,Sacramento (Walerga),Tulelake,7,33.8346,-118.3417,0.0,0.0,41.8833,-121.3667
Kauai,HI,None,Topaz,7,0.0,0.0,0.0,0.0,39.3833,-112.7167
Santa Paula,CA,Pomona,Heartmountain,7,34.3521,-119.0698,34.05,-117.75,44.5167,-109.05
Los Angeles,CA,Pinedale,Tulelake,7,34.1139,-118.4068,36.84,-119.8,41.8833,-121.3667
Los Angeles,CA,Pomona,Poston,7,34.1139,-118.4068,34.05,-117.75,34.15,-114.2833
Visalia,CA,None,Poston,7,36.3276,-119.3269,0.0,0.0,34.15,-114.2833
Petaluma,CA,Pomona,Heartmountain,7,38.2423,-122.6267,34.05,-117.75,44.5167,-109.05
Sunnyvale,CA,Santa Anita,Poston,7,37.3836,-122.0256,34.1333,-118.0333,34.15,-114.2833
Roseville,CA,Marysville (Arboga),Tulelake,7,38.7703,-121.3196,0.0,0.0,41.8833,-121.3667
Morgan Hill,CA,Sacramento (Walerga),Tulelake,7,37.1326,-121.6417,0.0,0.0,41.8833,-121.3667
Spokane,WA,Tulare,Gilariver,7,47.6671,-117.433,36.2,-119.3333,32.1667,-111.8667
South Gate,CA,Stockton,Rohwer,7,33.9448,-118.1926,37.95,-121.2833,33.75,-91.2667
Napa,CA,Turlock,Gilariver,7,38.2976,-122.3011,37.4833,-120.8333,32.1667,-111.8667
San Jacinto,CA,Pomona,Heartmountain,7,33.797,-116.9916,34.05,-117.75,44.5167,-109.05
Sonoma,CA,Salinas,Poston,7,38.2902,-122.4598,36.6667,-121.65,34.15,-114.2833
Stockton,CA,Stockton,Amache,7,37.9765,-121.3109,37.95,-121.2833,38.05,-102.3
Arroyo Grande,CA,None,Manzanar,7,35.1241,-120.5845,0.0,0.0,36.7333,-118.0667
Newport Beach,CA,Merced,Amache,7,33.6151,-117.8669,37.3,-120.4667,38.05,-102.3
Oakland,CA,Puyallup,Minidoka,7,37.7903,-122.2165,47.1833,-122.2833,42.6667,-114.2333
San Joaquin,CA,Stockton,Rohwer,7,36.6057,-120.1897,37.95,-121.2833,33.75,-91.2667
South Gate,CA,Merced,Amache,7,33.9448,-118.1926,37.3,-120.4667,38.05,-102.3
Isleton,CA,Fresno,Manzanar,6,38.1617,-121.6051,36.7333,-119.7667,36.7333,-118.0667
Oakland,CA,Tanforan,Minidoka,6,37.7903,-122.2165,37.6167,-122.4,42.6667,-114.2333
Santa Paula,CA,Santa Anita,Rohwer,6,34.3521,-119.0698,34.1333,-118.0333,33.75,-91.2667
Vallejo,CA,Marysville (Arboga),Tulelake,6,38.1133,-122.2358,0.0,0.0,41.8833,-121.3667
Yreka City,CA,Merced,Amache,6,0.0,0.0,37.3,-120.4667,38.05,-102.3
Los Angeles,CA,Puyallup,Minidoka,6,34.1139,-118.4068,47.1833,-122.2833,42.6667,-114.2333
Santa Ana,CA,Fresno,Jerome,6,33.7366,-117.8819,36.7333,-119.7667,33.3833,-91.4667
Vacaville,CA,Merced,Amache,6,38.359,-121.968,37.3,-120.4667,38.05,-102.3
Yakima,WA,Portland,Minidoka,6,46.5923,-120.5496,45.5167,-122.6667,42.6667,-114.2333
Salinas,CA,Santa Anita,Heartmountain,6,36.6884,-121.6317,34.1333,-118.0333,44.5167,-109.05
Fullerton,CA,Santa Anita,Rohwer,6,33.8841,-117.9279,34.1333,-118.0333,33.75,-91.2667
Taft,CA,Merced,Amache,6,35.1267,-119.4242,37.3,-120.4667,38.05,-102.3
Livermore,CA,Tanforan,Manzanar,6,37.6862,-121.7608,37.6167,-122.4,36.7333,-118.0667
Santa Ana,CA,Santa Anita,Poston,6,33.7366,-117.8819,34.1333,-118.0333,34.15,-114.2833
Yuba City,CA,Merced,Tulelake,6,39.1357,-121.6381,37.3,-120.4667,41.8833,-121.3667
Tulare,CA,Sacramento (Walerga),Tulelake,6,36.1996,-119.34,0.0,0.0,41.8833,-121.3667
Los Angeles,CA,None,Heartmountain,6,34.1139,-118.4068,0.0,0.0,44.5167,-109.05
Santa Ana,CA,Stockton,Rohwer,6,33.7366,-117.8819,37.95,-121.2833,33.75,-91.2667
Lodi,CA,Santa Anita,Rohwer,6,38.1218,-121.2932,34.1333,-118.0333,33.75,-91.2667
San Francisco,CA,Tanforan,Heartmountain,6,37.7562,-122.443,37.6167,-122.4,44.5167,-109.05
Los Angeles,CA,Manzanar,Poston,6,34.1139,-118.4068,36.7333,-118.0667,34.15,-114.2833
Los Angeles,CA,Manzanar,Heartmountain,6,34.1139,-118.4068,36.7333,-118.0667,44.5167,-109.05
Los Angeles,CA,Fresno,Rohwer,6,34.1139,-118.4068,36.7333,-119.7667,33.75,-91.2667
Sacramento,CA,Pinedale,Gilariver,6,38.5667,-121.4683,36.84,-119.8,32.1667,-111.8667
Longview,WA,Portland,Minidoka,6,46.1461,-122.9629,45.5167,-122.6667,42.6667,-114.2333
Oakland,CA,Tulare,Gilariver,6,37.7903,-122.2165,36.2,-119.3333,32.1667,-111.8667
Tulare,CA,None,Tulelake,6,36.1996,-119.34,0.0,0.0,41.8833,-121.3667
Santa Barbara,CA,Tanforan,Topaz,6,34.4285,-119.7202,37.6167,-122.4,39.3833,-112.7167
Torrance,CA,Marysville (Arboga),Tulelake,6,33.8346,-118.3417,0.0,0.0,41.8833,-121.3667
Selma,CA,None,Tulelake,6,36.5715,-119.6143,0.0,0.0,41.8833,-121.3667
San Carlos,CA,Manzanar,Manzanar,6,37.4982,-122.268,36.7333,-118.0667,36.7333,-118.0667
San Diego,CA,Pomona,Heartmountain,6,32.8312,-117.1225,34.05,-117.75,44.5167,-109.05
Winkelman,AZ,None,Poston,6,32.9853,-110.7651,0.0,0.0,34.15,-114.2833
Fresno,CA,Pinedale,Gilariver,6,36.7831,-119.7941,36.84,-119.8,32.1667,-111.8667
San Jose,CA,Santa Anita,Tulelake,6,37.3019,-121.8486,34.1333,-118.0333,41.8833,-121.3667
Coronada,CA,Santa Anita,Amache,6,0.0,0.0,34.1333,-118.0333,38.05,-102.3
Whittier,CA,None,Tulelake,6,33.9678,-118.0188,0.0,0.0,41.8833,-121.3667
Whittier,CA,Stockton,Rohwer,6,33.9678,-118.0188,37.95,-121.2833,33.75,-91.2667
City_Unregistered,Not Found,Turlock,Gilariver,6,0.0,0.0,37.4833,-120.8333,32.1667,-111.8667
City_Unregistered,Not Found,Marysville (Arboga),Tulelake,6,0.0,0.0,0.0,0.0,41.8833,-121.3667
Morgan Hill,CA,None,Tulelake,6,37.1326,-121.6417,0.0,0.0,41.8833,-121.3667
Westmorland,CA,Santa Anita,Rohwer,6,33.0389,-115.6223,34.1333,-118.0333,33.75,-91.2667
Winters,CA,Merced,Tulelake,6,38.532,-121.9781,37.3,-120.4667,41.8833,-121.3667
Watsonville,CA,Fresno,Gilariver,6,36.9206,-121.7706,36.7333,-119.7667,32.1667,-111.8667
St. Helena,CA,Merced,Amache,6,38.5063,-122.4682,37.3,-120.4667,38.05,-102.3
Seattle,WA,Stockton,Rohwer,6,47.6211,-122.3244,37.95,-121.2833,33.75,-91.2667
Morgan Hill,CA,None,Gilariver,6,37.1326,-121.6417,0.0,0.0,32.1667,-111.8667
Morgan Hill,CA,Fresno,Jerome,6,37.1326,-121.6417,36.7333,-119.7667,33.3833,-91.4667
Petaluma,CA,Marysville (Arboga),Tulelake,6,38.2423,-122.6267,0.0,0.0,41.8833,-121.3667
Selma,CA,Turlock,Gilariver,6,36.5715,-119.6143,37.4833,-120.8333,32.1667,-111.8667
San Bernardino,CA,Manzanar,Manzanar,6,34.1417,-117.2946,36.7333,-118.0667,36.7333,-118.0667
El Centro,CA,Santa Anita,Heartmountain,5,32.7867,-115.5586,34.1333,-118.0333,44.5167,-109.05
Westmorland,CA,Pomona,Heartmountain,5,33.0389,-115.6223,34.05,-117.75,44.5167,-109.05
San Francisco,CA,Stockton,Topaz,5,37.7562,-122.443,37.95,-121.2833,39.3833,-112.7167
Arroyo Grande,CA,Manzanar,Manzanar,5,35.1241,-120.5845,36.7333,-118.0667,36.7333,-118.0667
Sacramento,CA,Merced,Tulelake,5,38.5667,-121.4683,37.3,-120.4667,41.8833,-121.3667
Arroyo Grande,CA,None,Gilariver,5,35.1241,-120.5845,0.0,0.0,32.1667,-111.8667
Sacramento,CA,Marysville (Arboga),Topaz,5,38.5667,-121.4683,0.0,0.0,39.3833,-112.7167
Coronada,CA,Santa Anita,Jerome,5,0.0,0.0,34.1333,-118.0333,33.3833,-91.4667
Lindsay,CA,None,Gilariver,5,36.2082,-119.0897,0.0,0.0,32.1667,-111.8667
San Joaquin,CA,Merced,Amache,5,36.6057,-120.1897,37.3,-120.4667,38.05,-102.3
San Joaquin,CA,None,Tulelake,5,36.6057,-120.1897,0.0,0.0,41.8833,-121.3667
West Covina,CA,Marysville (Arboga),Tulelake,5,34.0555,-117.9112,0.0,0.0,41.8833,-121.3667
Arroyo Grande,CA,Tulare,Jerome,5,35.1241,-120.5845,36.2,-119.3333,33.3833,-91.4667
Turlock,CA,None,Tulelake,5,37.5053,-120.8588,0.0,0.0,41.8833,-121.3667
Arroyo Grande,CA,Sacramento (Walerga),Tulelake,5,35.1241,-120.5845,0.0,0.0,41.8833,-121.3667
Fullerton,CA,Manzanar,Manzanar,5,33.8841,-117.9279,36.7333,-118.0667,36.7333,-118.0667
San Luis Obisbo,CA,Tulare,Gilariver,5,0.0,0.0,36.2,-119.3333,32.1667,-111.8667
Grass Valley,CA,None,Tulelake,5,39.2237,-121.0521,0.0,0.0,41.8833,-121.3667
Bakersfield,CA,Merced,Amache,5,35.3529,-119.0359,37.3,-120.4667,38.05,-102.3
City_Unregistered,Not Found,None,Amache,5,0.0,0.0,0.0,0.0,38.05,-102.3
San Francisco,CA,Santa Anita,Tulelake,5,37.7562,-122.443,34.1333,-118.0333,41.8833,-121.3667
Isleton,CA,Fresno,Topaz,5,38.1617,-121.6051,36.7333,-119.7667,39.3833,-112.7167
Yelm,WA,Puyallup,Minidoka,5,46.9398,-122.6261,47.1833,-122.2833,42.6667,-114.2333
San Carlos,CA,Pomona,Heartmountain,5,37.4982,-122.268,34.05,-117.75,44.5167,-109.05
Isleton,CA,Merced,Tulelake,5,38.1617,-121.6051,37.3,-120.4667,41.8833,-121.3667
Fresno,CA,Sacramento (Walerga),Tulelake,5,36.7831,-119.7941,0.0,0.0,41.8833,-121.3667
Winlock,WA,Pinedale,Tulelake,5,46.4907,-122.9342,36.84,-119.8,41.8833,-121.3667
Santa Ana,CA,Santa Anita,Gilariver,5,33.7366,-117.8819,34.1333,-118.0333,32.1667,-111.8667
Wilcox,AZ,Mayer,Poston,5,0.0,0.0,34.3833,-112.2333,34.15,-114.2833
Whittier,CA,Tulare,Manzanar,5,33.9678,-118.0188,36.2,-119.3333,36.7333,-118.0667
Watsonville,CA,Pomona,Heartmountain,5,36.9206,-121.7706,34.05,-117.75,44.5167,-109.05
San Leandro,CA,Sacramento (Walerga),Tulelake,5,37.7071,-122.1601,0.0,0.0,41.8833,-121.3667
Fresno,CA,Fresno,Poston,5,36.7831,-119.7941,36.7333,-119.7667,34.15,-114.2833
Santa Ana,CA,Tulare,Gilariver,5,33.7366,-117.8819,36.2,-119.3333,32.1667,-111.8667
Walnut Creek,CA,Tulare,Gilariver,5,37.9024,-122.0398,36.2,-119.3333,32.1667,-111.8667
Sacramento,CA,Sacramento (Walerga),Minidoka,5,38.5667,-121.4683,0.0,0.0,42.6667,-114.2333
San Mateo,CA,Tulare,Gilariver,5,37.5521,-122.3122,36.2,-119.3333,32.1667,-111.8667
Santa Clara,CA,None,Gilariver,5,37.3645,-121.968,0.0,0.0,32.1667,-111.8667
Sunnyvale,CA,Tanforan,Topaz,5,37.3836,-122.0256,37.6167,-122.4,39.3833,-112.7167
Richmond,CA,Turlock,Gilariver,5,37.9477,-122.339,37.4833,-120.8333,32.1667,-111.8667
Los Angeles,CA,Turlock,Poston,5,34.1139,-118.4068,37.4833,-120.8333,34.15,-114.2833
Santa Paula,CA,None,Gilariver,5,34.3521,-119.0698,0.0,0.0,32.1667,-111.8667
Newport Beach,CA,Pomona,Heartmountain,5,33.6151,-117.8669,34.05,-117.75,44.5167,-109.05
Richland,WA,Portland,Gilariver,5,46.2824,-119.2938,45.5167,-122.6667,32.1667,-111.8667
Seattle,WA,Turlock,Gilariver,5,47.6211,-122.3244,37.4833,-120.8333,32.1667,-111.8667
Renton,WA,Portland,Minidoka,5,47.4784,-122.1919,45.5167,-122.6667,42.6667,-114.2333
Sante Fe,NM,None,Poston,5,0.0,0.0,0.0,0.0,34.15,-114.2833
Marysville,CA,Turlock,Gilariver,5,39.1518,-121.5835,37.4833,-120.8333,32.1667,-111.8667
Renton,WA,Pinedale,Gilariver,5,47.4784,-122.1919,36.84,-119.8,32.1667,-111.8667
Santa Rosa,CA,Tulare,Gilariver,5,38.4458,-122.7067,36.2,-119.3333,32.1667,-111.8667
Los Angeles,CA,Pinedale,Gilariver,5,34.1139,-118.4068,36.84,-119.8,32.1667,-111.8667
Renton,WA,Mayer,Topaz,5,47.4784,-122.1919,34.3833,-112.2333,39.3833,-112.7167
Stockton,CA,None,Tulelake,5,37.9765,-121.3109,0.0,0.0,41.8833,-121.3667
Selma,CA,Fresno,Rohwer,5,36.5715,-119.6143,36.7333,-119.7667,33.75,-91.2667
Stockton,CA,Stockton,Poston,5,37.9765,-121.3109,37.95,-121.2833,34.15,-114.2833
Tempe,AZ,None,Gilariver,5,33.3881,-111.9318,0.0,0.0,32.1667,-111.8667
Los Angeles,CA,Salinas,Poston,5,34.1139,-118.4068,36.6667,-121.65,34.15,-114.2833
Santa Rosa,CA,None,Poston,5,38.4458,-122.7067,0.0,0.0,34.15,-114.2833
Sumas,WA,None,Tulelake,5,48.9956,-122.2695,0.0,0.0,41.8833,-121.3667
Santa Paula,CA,Fresno,Jerome,5,34.3521,-119.0698,36.7333,-119.7667,33.3833,-91.4667
Richmond,CA,None,Poston,5,37.9477,-122.339,0.0,0.0,34.15,-114.2833
Marysville,CA,Sacramento (Walerga),Tulelake,5,39.1518,-121.5835,0.0,0.0,41.8833,-121.3667
Oakland,CA,Manzanar,Manzanar,5,37.7903,-122.2165,36.7333,-118.0667,36.7333,-118.0667
Santa Cruz,CA,Merced,Amache,5,36.9789,-122.0346,37.3,-120.4667,38.05,-102.3
Oakland,CA,Santa Anita,Jerome,5,37.7903,-122.2165,34.1333,-118.0333,33.3833,-91.4667
Sunnyvale,CA,Tanforan,Heartmountain,5,37.3836,-122.0256,37.6167,-122.4,44.5167,-109.05
Tacoma,WA,None,Tulelake,5,47.2431,-122.4531,0.0,0.0,41.8833,-121.3667
Torrance,CA,Santa Anita,Tulelake,5,33.8346,-118.3417,34.1333,-118.0333,41.8833,-121.3667
Oceanside,CA,Manzanar,Manzanar,5,33.2247,-117.3083,36.7333,-118.0667,36.7333,-118.0667
Sonoma,CA,None,Tulelake,5,38.2902,-122.4598,0.0,0.0,41.8833,-121.3667
Oakland,CA,Salinas,Poston,5,37.7903,-122.2165,36.6667,-121.65,34.15,-114.2833
San Joaquin,CA,Turlock,Gilariver,5,36.6057,-120.1897,37.4833,-120.8333,32.1667,-111.8667
South Gate,CA,Tulare,Manzanar,5,33.9448,-118.1926,36.2,-119.3333,36.7333,-118.0667
Seattle,WA,None,Poston,5,47.6211,-122.3244,0.0,0.0,34.15,-114.2833
Whittier,CA,None,Manzanar,4,33.9678,-118.0188,0.0,0.0,36.7333,-118.0667
Coronada,CA,Manzanar,Manzanar,4,0.0,0.0,36.7333,-118.0667,36.7333,-118.0667
San Leandro,CA,Tanforan,Manzanar,4,37.7071,-122.1601,37.6167,-122.4,36.7333,-118.0667
Clayton,MO,Tulare,Gilariver,4,38.6444,-90.3302,36.2,-119.3333,32.1667,-111.8667
Pleasanton,CA,Merced,Amache,4,37.6663,-121.8805,37.3,-120.4667,38.05,-102.3
San Juan,CA,None,Poston,4,0.0,0.0,0.0,0.0,34.15,-114.2833
Seattle,WA,Puyallup,Heartmountain,4,47.6211,-122.3244,47.1833,-122.2833,44.5167,-109.05
Placerville,CA,Pinedale,Poston,4,38.7308,-120.7978,36.84,-119.8,34.15,-114.2833
Pittsburg,CA,Pomona,Heartmountain,4,38.0182,-121.8964,34.05,-117.75,44.5167,-109.05
Selma,CA,Fresno,Poston,4,36.5715,-119.6143,36.7333,-119.7667,34.15,-114.2833
Rocky Falls,CO,None,Poston,4,0.0,0.0,0.0,0.0,34.15,-114.2833
El Centro,CA,Manzanar,Manzanar,4,32.7867,-115.5586,36.7333,-118.0667,36.7333,-118.0667
Marysville,CA,Portland,Heartmountain,4,39.1518,-121.5835,45.5167,-122.6667,44.5167,-109.05
Marysville,CA,Tanforan,Topaz,4,39.1518,-121.5835,37.6167,-122.4,39.3833,-112.7167
Sunnyvale,CA,Santa Anita,Gilariver,4,37.3836,-122.0256,34.1333,-118.0333,32.1667,-111.8667
Piedmont,CA,Merced,Amache,4,37.8226,-122.23,37.3,-120.4667,38.05,-102.3
Torrance,CA,Turlock,Gilariver,4,33.8346,-118.3417,37.4833,-120.8333,32.1667,-111.8667
Whittier,CA,Pomona,Poston,4,33.9678,-118.0188,34.05,-117.75,34.15,-114.2833
Philadelphia,PA,None,Jerome,4,40.0077,-75.1339,0.0,0.0,33.3833,-91.4667
San Joaquin,CA,Santa Anita,Rohwer,4,36.6057,-120.1897,34.1333,-118.0333,33.75,-91.2667
Anacortes,WA,None,Tulelake,4,48.4878,-122.6292,0.0,0.0,41.8833,-121.3667
San Jose,CA,Marysville (Arboga),Tulelake,4,37.3019,-121.8486,0.0,0.0,41.8833,-121.3667
Zillah,WA,Portland,Tulelake,4,46.4084,-120.2725,45.5167,-122.6667,41.8833,-121.3667
San Jacinto,CA,Santa Anita,Poston,4,33.797,-116.9916,34.1333,-118.0333,34.15,-114.2833
South Gate,CA,Portland,Heartmountain,4,33.9448,-118.1926,45.5167,-122.6667,44.5167,-109.05
Arroyo Grande,CA,Tulare,Tulelake,4,35.1241,-120.5845,36.2,-119.3333,41.8833,-121.3667
South Gate,CA,Portland,Minidoka,4,33.9448,-118.1926,45.5167,-122.6667,42.6667,-114.2333
Soledad,CA,None,Tulelake,4,36.4432,-121.3426,0.0,0.0,41.8833,-121.3667
San Jose,CA,Salinas,Poston,4,37.3019,-121.8486,36.6667,-121.65,34.15,-114.2833
Newport Beach,CA,Santa Anita,Rohwer,4,33.6151,-117.8669,34.1333,-118.0333,33.75,-91.2667
Orange,CA,Manzanar,Manzanar,4,33.8038,-117.8218,36.7333,-118.0667,36.7333,-118.0667
Woodland,CA,Merced,Tulelake,4,38.6712,-121.75,37.3,-120.4667,41.8833,-121.3667
Pacific Grove,CA,Fresno,Jerome,4,36.6192,-121.9255,36.7333,-119.7667,33.3833,-91.4667
Stockton,CA,Fresno,Jerome,4,37.9765,-121.3109,36.7333,-119.7667,33.3833,-91.4667
Stockton,CA,Marysville (Arboga),Tulelake,4,37.9765,-121.3109,0.0,0.0,41.8833,-121.3667
Palo Alto,CA,Manzanar,Manzanar,4,37.3913,-122.1468,36.7333,-118.0667,36.7333,-118.0667
Wilkeson,WA,Portland,Heartmountain,4,47.1034,-122.0495,45.5167,-122.6667,44.5167,-109.05
Needles,CA,Tulare,Gilariver,4,34.8164,-114.6189,36.2,-119.3333,32.1667,-111.8667
San Carlos,CA,Santa Anita,Amache,4,37.4982,-122.268,34.1333,-118.0333,38.05,-102.3
San Francisco,CA,Salinas,Poston,4,37.7562,-122.443,36.6667,-121.65,34.15,-114.2833
Palo Alto,CA,Santa Anita,Manzanar,4,37.3913,-122.1468,34.1333,-118.0333,36.7333,-118.0667
City_Unregistered,Not Found,Pinedale,Tulelake,4,0.0,0.0,36.84,-119.8,41.8833,-121.3667
City_Unregistered,Not Found,Santa Anita,Manzanar,4,0.0,0.0,34.1333,-118.0333,36.7333,-118.0667
San Jose,CA,Tulare,Gilariver,4,37.3019,-121.8486,36.2,-119.3333,32.1667,-111.8667
Palo Alto,CA,Pomona,Heartmountain,4,37.3913,-122.1468,34.05,-117.75,44.5167,-109.05
Seattle,WA,Puyallup,Amache,4,47.6211,-122.3244,47.1833,-122.2833,38.05,-102.3
San Carlos,CA,None,Gilariver,4,37.4982,-122.268,0.0,0.0,32.1667,-111.8667
Tulare,CA,Turlock,Gilariver,4,36.1996,-119.34,37.4833,-120.8333,32.1667,-111.8667
Vallejo,CA,Tanforan,Topaz,4,38.1133,-122.2358,37.6167,-122.4,39.3833,-112.7167
Santa Paula,CA,Turlock,Gilariver,4,34.3521,-119.0698,37.4833,-120.8333,32.1667,-111.8667
Isleton,CA,Fresno,Gilariver,4,38.1617,-121.6051,36.7333,-119.7667,32.1667,-111.8667
Los Angeles,CA,Pomona,Manzanar,4,34.1139,-118.4068,34.05,-117.75,36.7333,-118.0667
Isleton,CA,None,Gilariver,4,38.1617,-121.6051,0.0,0.0,32.1667,-111.8667
Salinas,CA,Manzanar,Manzanar,4,36.6884,-121.6317,36.7333,-118.0667,36.7333,-118.0667
San Carlos,CA,Marysville (Arboga),Tulelake,4,37.4982,-122.268,0.0,0.0,41.8833,-121.3667
Isleton,CA,Puyallup,Tulelake,4,38.1617,-121.6051,47.1833,-122.2833,41.8833,-121.3667
Santa Paula,CA,None,Tulelake,4,34.3521,-119.0698,0.0,0.0,41.8833,-121.3667
Torrance,CA,Pomona,Manzanar,4,33.8346,-118.3417,34.05,-117.75,36.7333,-118.0667
Turlock,CA,Turlock,Gilariver,4,37.5053,-120.8588,37.4833,-120.8333,32.1667,-111.8667
Kectley,UT,None,Topaz,4,0.0,0.0,0.0,0.0,39.3833,-112.7167
Tulare,CA,Tanforan,Topaz,4,36.1996,-119.34,37.6167,-122.4,39.3833,-112.7167
Hollister,CA,Salinas,Tulelake,4,36.8563,-121.3981,36.6667,-121.65,41.8833,-121.3667
Lompoc,CA,Santa Anita,Jerome,4,34.6618,-120.4714,34.1333,-118.0333,33.3833,-91.4667
Riverbank,CA,Stockton,Rohwer,4,37.7268,-120.9402,37.95,-121.2833,33.75,-91.2667
Lompoc,CA,Pomona,Heartmountain,4,34.6618,-120.4714,34.05,-117.75,44.5167,-109.05
Riverside,CA,None,Gilariver,4,33.9381,-117.3948,0.0,0.0,32.1667,-111.8667
Sacramento,CA,Fresno,Tulelake,4,38.5667,-121.4683,36.7333,-119.7667,41.8833,-121.3667
Santa Barbara,CA,Tulare,Heartmountain,4,34.4285,-119.7202,36.2,-119.3333,44.5167,-109.05
Lodi,CA,Stockton,Topaz,4,38.1218,-121.2932,37.95,-121.2833,39.3833,-112.7167
Oakland,CA,Santa Anita,Topaz,4,37.7903,-122.2165,34.1333,-118.0333,39.3833,-112.7167
Santa Maria,CA,Manzanar,Manzanar,4,34.9334,-120.4432,36.7333,-118.0667,36.7333,-118.0667
Lodi,CA,Merced,Amache,4,38.1218,-121.2932,37.3,-120.4667,38.05,-102.3
Lodi,CA,Marysville (Arboga),Tulelake,4,38.1218,-121.2932,0.0,0.0,41.8833,-121.3667
Torrance,CA,Tulare,Manzanar,4,33.8346,-118.3417,36.2,-119.3333,36.7333,-118.0667
Vallejo,CA,Turlock,Gilariver,4,38.1133,-122.2358,37.4833,-120.8333,32.1667,-111.8667
Los Angeles,CA,Pomona,Amache,4,34.1139,-118.4068,34.05,-117.75,38.05,-102.3
Port Orchard,WA,None,Manzanar,4,47.5163,-122.661,0.0,0.0,36.7333,-118.0667
Lyman,WA,Puyallup,Minidoka,4,48.523,-122.0634,47.1833,-122.2833,42.6667,-114.2333
Los Angeles,CA,Santa Anita,Minidoka,4,34.1139,-118.4068,34.1333,-118.0333,42.6667,-114.2333
Salinas,CA,Santa Anita,Gilariver,4,36.6884,-121.6317,34.1333,-118.0333,32.1667,-111.8667
Watsonville,CA,Merced,Tulelake,4,36.9206,-121.7706,37.3,-120.4667,41.8833,-121.3667
San Mateo,CA,Marysville (Arboga),Tulelake,4,37.5521,-122.3122,0.0,0.0,41.8833,-121.3667
Gridley,CA,Merced,Amache,4,39.3622,-121.6971,37.3,-120.4667,38.05,-102.3
Manteca,CA,Marysville (Arboga),Tulelake,4,37.7927,-121.2264,0.0,0.0,41.8833,-121.3667
Fresno,CA,Turlock,Gilariver,4,36.7831,-119.7941,37.4833,-120.8333,32.1667,-111.8667
WIlliams,CA,Santa Anita,Jerome,4,0.0,0.0,34.1333,-118.0333,33.3833,-91.4667
Sunnyvale,CA,Sacramento (Walerga),Tulelake,3,37.3836,-122.0256,0.0,0.0,41.8833,-121.3667
Sonoma,CA,None,Gilariver,3,38.2902,-122.4598,0.0,0.0,32.1667,-111.8667
Seattle,WA,Puyallup,Poston,3,47.6211,-122.3244,47.1833,-122.2833,34.15,-114.2833
Stockton,CA,Tanforan,Tulelake,3,37.9765,-121.3109,37.6167,-122.4,41.8833,-121.3667
Sonoma,CA,Fresno,Jerome,3,38.2902,-122.4598,36.7333,-119.7667,33.3833,-91.4667
Santa Maria,CA,Pomona,Heartmountain,3,34.9334,-120.4432,34.05,-117.75,44.5167,-109.05
San Mateo,CA,None,Poston,3,37.5521,-122.3122,0.0,0.0,34.15,-114.2833
Santa Maria,CA,Stockton,Rohwer,3,34.9334,-120.4432,37.95,-121.2833,33.75,-91.2667
Tulare,CA,Santa Anita,Heartmountain,3,36.1996,-119.34,34.1333,-118.0333,44.5167,-109.05
Sonora,CA,Santa Anita,Jerome,3,37.9819,-120.3828,34.1333,-118.0333,33.3833,-91.4667
